item_id,category,region,date,stock_level,demand,supply,is_scarce,potentially_scarce,conversion_rate,experience_score,dispute_amount,win_amount,recouped_amount,tag_status,net_loss,spike_indicator,supply_demand_ratio
ITEM00000,Home Appliances,South,2023-07-27,270,623,71,Yes,Yes,0.31,3,162.62,185.71,29.37,Reviewed,-52.46000000000001,No,0.11378205128205128
ITEM00001,Toys,West,2023-07-29,391,913,644,Yes,No,0.48,6,328.36,227.56,85.72,Flagged,15.080000000000013,No,0.7045951859956237
ITEM00002,Groceries,Central,2023-01-01,431,148,373,No,Yes,0.15,7,417.27,420.27,219.58,Resolved,-222.58,No,2.5033557046979866
ITEM00003,Toys,West,2023-12-26,226,353,566,No,No,0.24,3,431.93,17.13,226.7,Reviewed,188.10000000000002,No,1.5988700564971752
ITEM00004,Toys,West,2023-03-06,471,958,310,Yes,Yes,0.27,3,437.88,253.94,97.37,Escalated,86.57,No,0.3232533889468196
ITEM00005,Apparel,Central,2023-01-01,243,479,970,No,No,0.47,7,783.51,229.77,281.91,Reviewed,271.83,No,2.0208333333333335
ITEM00006,Groceries,West,2023-08-31,307,348,841,No,Yes,0.76,10,620.18,110.85,150.52,Flagged,358.80999999999995,No,2.4097421203438394
ITEM00007,Groceries,Central,2023-11-12,54,171,178,Yes,No,0.38,9,641.78,121.71,263.51,Escalated,256.55999999999995,No,1.0348837209302326
ITEM00008,Groceries,Central,2023-01-25,36,546,675,Yes,No,0.4,3,768.66,290.46,158.94,Escalated,319.26,No,1.2340036563071297
ITEM00009,Toys,Central,2023-12-13,387,605,333,No,No,0.34,6,206.91,484.35,3.63,Resolved,-281.07000000000005,No,0.5495049504950495
ITEM00010,Home Appliances,South,2023-02-19,54,808,96,Yes,Yes,0.36,5,464.43,396.47,29.85,Escalated,38.10999999999998,No,0.11866501854140915
ITEM00011,Groceries,East,2023-12-14,11,352,902,Yes,Yes,0.42,8,855.18,250.07,31.57,Escalated,573.5399999999998,No,2.555240793201133
ITEM00012,Toys,South,2023-08-29,402,969,237,Yes,Yes,0.82,9,705.7,287.04,215.3,Resolved,203.36,No,0.2443298969072165
ITEM00013,Apparel,Central,2023-02-01,462,398,68,No,Yes,0.12,8,880.09,287.07,258.07,Resolved,334.95,No,0.17042606516290726
ITEM00014,Home Appliances,East,2023-02-02,184,833,648,Yes,No,0.6,1,453.22,350.75,157.71,Escalated,-55.23999999999998,No,0.7769784172661871
ITEM00015,Apparel,East,2023-07-19,477,159,703,No,Yes,0.81,7,765.88,168.66,256.28,Escalated,340.94000000000005,No,4.39375
ITEM00016,Home Appliances,Central,2023-08-22,236,456,812,No,No,0.43,8,265.99,338.04,111.55,Resolved,-183.60000000000002,No,1.776805251641138
ITEM00017,Toys,East,2023-01-26,292,256,887,No,Yes,0.62,5,867.79,127.17,30.57,Escalated,710.05,Yes,3.4513618677042803
ITEM00018,Electronics,East,2023-02-11,203,441,931,Yes,No,0.57,4,296.68,401.48,77.7,Resolved,-182.5,No,2.1063348416289593
ITEM00019,Home Appliances,South,2023-03-02,210,993,57,Yes,Yes,0.37,7,340.6,470.18,35.41,Flagged,-164.98999999999998,No,0.05734406438631791
ITEM00020,Apparel,East,2023-02-10,225,301,86,No,Yes,0.21,6,717.66,280.48,265.73,Escalated,171.44999999999993,No,0.2847682119205298
ITEM00021,Toys,Central,2023-05-10,6,878,647,Yes,No,0.28,2,747.76,35.73,71.74,Reviewed,640.29,No,0.7360637087599545
ITEM00022,Home Appliances,North,2023-12-21,219,134,121,No,No,0.15,9,52.6,355.91,225.2,Flagged,-528.51,No,0.8962962962962963
ITEM00023,Electronics,North,2023-12-20,310,866,430,Yes,No,0.71,3,150.17,463.73,21.4,Flagged,-334.96000000000004,No,0.49596309111880044
ITEM00024,Electronics,North,2023-07-17,27,634,315,Yes,No,0.53,1,249.71,472.12,232.51,Escalated,-454.91999999999996,No,0.49606299212598426
ITEM00025,Groceries,Central,2023-10-14,476,555,116,No,Yes,0.73,3,999.87,455.39,25.52,Flagged,518.96,No,0.20863309352517986
ITEM00026,Groceries,North,2023-05-31,292,264,702,No,Yes,0.33,1,822.44,281.7,284.31,Flagged,256.43,No,2.6490566037735848
ITEM00027,Apparel,South,2023-07-23,211,127,856,No,Yes,0.74,10,715.05,459.04,192.19,Escalated,63.819999999999936,No,6.6875
ITEM00028,Home Appliances,Central,2023-07-01,188,471,113,Yes,Yes,0.35,7,963.44,134.01,202.9,Flagged,626.5300000000001,No,0.23940677966101695
ITEM00029,Home Appliances,Central,2023-07-26,74,962,79,Yes,Yes,0.2,6,687.19,71.93,204.29,Resolved,410.97,No,0.08203530633437175
ITEM00030,Groceries,Central,2023-05-27,241,413,949,No,No,0.53,8,691.64,238.3,82.42,Flagged,370.91999999999996,No,2.292270531400966
ITEM00031,Home Appliances,East,2023-07-23,113,664,606,Yes,No,0.86,4,898.18,15.44,132.89,Resolved,749.8499999999999,Yes,0.9112781954887218
ITEM00032,Home Appliances,East,2023-02-17,166,383,695,Yes,No,0.43,6,301.96,38.63,271.6,Reviewed,-8.270000000000039,No,1.8098958333333333
ITEM00033,Electronics,East,2023-09-15,105,397,65,Yes,Yes,0.51,3,1.76,300.69,62.07,Reviewed,-361.0,No,0.16331658291457288
ITEM00034,Groceries,West,2023-05-19,150,574,327,Yes,No,0.46,4,714.95,352.01,158.3,Resolved,204.64000000000004,No,0.568695652173913
ITEM00035,Toys,South,2023-06-21,435,696,780,No,No,0.47,6,156.11,69.35,96.88,Escalated,-10.119999999999976,No,1.1190817790530847
ITEM00036,Groceries,Central,2023-04-11,365,448,326,No,No,0.27,5,287.24,170.67,229.08,Resolved,-112.50999999999999,No,0.7260579064587973
ITEM00037,Toys,Central,2023-07-06,83,735,270,Yes,Yes,0.44,2,822.5,403.9,136.87,Resolved,281.73,No,0.36684782608695654
ITEM00038,Electronics,East,2023-11-11,211,544,242,Yes,No,0.5,9,777.92,100.48,102.82,Flagged,574.6199999999999,No,0.44403669724770645
ITEM00039,Apparel,Central,2023-10-21,266,306,719,No,Yes,0.7,2,474.77,445.29,177.9,Escalated,-148.42000000000004,No,2.3420195439739415
ITEM00040,Home Appliances,Central,2023-12-29,321,516,73,No,Yes,0.21,8,104.34,280.79,31.81,Flagged,-208.26000000000002,No,0.14119922630560927
ITEM00041,Electronics,North,2023-01-21,268,538,881,Yes,No,0.56,5,298.31,296.67,167.99,Flagged,-166.35000000000002,No,1.634508348794063
ITEM00042,Home Appliances,Central,2023-10-25,460,264,190,No,No,0.63,7,475.53,75.02,235.05,Flagged,165.45999999999998,No,0.7169811320754716
ITEM00043,Apparel,West,2023-01-10,424,658,783,No,No,0.41,6,768.18,30.82,288.89,Flagged,448.4699999999999,No,1.1881638846737481
ITEM00044,Apparel,East,2023-07-06,176,519,75,Yes,Yes,0.54,2,984.71,181.37,253.56,Escalated,549.78,No,0.14423076923076922
ITEM00045,Electronics,South,2023-05-13,270,470,147,No,Yes,0.67,4,625.58,47.41,184.9,Flagged,393.2700000000001,No,0.31210191082802546
ITEM00046,Apparel,South,2023-02-02,311,767,325,Yes,No,0.47,9,53.36,49.89,162.19,Flagged,-158.72,No,0.4231770833333333
ITEM00047,Toys,North,2023-03-10,181,365,622,Yes,No,0.37,7,221.13,474.46,98.6,Flagged,-351.92999999999995,No,1.6994535519125684
ITEM00048,Apparel,South,2023-03-21,158,378,941,Yes,Yes,0.76,1,259.54,34.0,143.37,Resolved,82.17000000000002,No,2.4828496042216357
ITEM00049,Home Appliances,South,2023-07-10,188,581,292,Yes,No,0.89,4,634.44,219.7,185.55,Resolved,229.19000000000005,No,0.5017182130584192
ITEM00050,Home Appliances,East,2023-04-11,185,616,951,Yes,No,0.27,10,18.43,378.02,38.94,Resolved,-398.53,No,1.5413290113452187
ITEM00051,Home Appliances,East,2023-10-12,470,181,988,No,Yes,0.81,3,506.56,142.3,217.0,Resolved,147.26,No,5.428571428571429
ITEM00052,Home Appliances,West,2023-08-09,443,218,482,No,No,0.54,1,995.72,248.91,73.5,Flagged,673.3100000000001,No,2.2009132420091326
ITEM00053,Toys,North,2023-02-22,308,873,58,Yes,Yes,0.46,5,768.68,180.01,34.6,Resolved,554.0699999999999,No,0.06636155606407322
